data,lin_reg,randf1,randf2,randf3,lin_svr1,lin_svr2,grad_bst1,grad_bst2,svr_poly1,svr_poly2,svr_poly3,svr_poly4,svr_poly5,prophet1,prophet2,lstm1,lstm2,lstm3
lag_5_KCE,1.505960885554225,0.21972020525208635,0.17134535722488384,0.17664272961877028,0.07840654238011323,0.19847965960814956,0.1303853513799711,0.17526411440143214,5.93468044792784,6.399939990662676,1.5747036307364732,0.24291546078280887,2.8633271042565354,0.09197230795823778,0.6429393756355053,0.3884679256777718,0.9300446572780532,0.5387692062914677
lag_4_KCE,1.4395547092317267,0.2200066475727931,0.19985953676195067,0.19839056104012262,0.12189209872128733,0.104815453988799,0.18844662984191912,0.2096072782464994,4.087005060219236,7.28972824158182,0.8852387548669074,0.3021013107796206,1.4684492951778603,0.09197230795823778,0.9735602767121929,0.2951610551828498,0.9647121322876393,0.4932182879070566
lag_3_KCE,1.533376358657801,0.22849693840966873,0.2140836772844317,0.2140836772844317,0.1558203804114878,0.13271612566409097,0.22250688428213045,0.2083454105436674,0.36456462707216675,0.5834442741053689,0.1729561196149146,0.2255575577492958,0.1729561196149146,0.09197230795823778,0.5492132644502806,0.27775900811226734,0.6516175729853244,0.3965514914602953
lag_2_KCE,1.9287713379102662,0.23061857942100686,0.21312947753799152,0.2274433525760041,0.16105156731699177,0.12265718135258982,0.22692336331728066,0.2116098436808646,0.1814867511957758,0.45431490381278,0.15034945171348105,0.13481910323791788,0.15034945171348105,0.09197230795823778,0.2402340095294679,0.25293176642580667,0.5878560639359344,0.5495231456240292
lag_9_SCB,0.15293493422290802,0.1514672181923346,0.16296475717698067,0.17223486990717266,0.15535857595378916,0.15792006657989974,0.18338450840621545,0.17338709222136128,0.15271074462359802,0.15443648063339865,0.1519903715857302,0.1519435163778443,0.151990563701557,0.27732069236131573,0.30992266720574135,0.4074672618759169,0.15564464797058164,0.16304561516903066
lag_6_SCB,0.14672266654620297,0.14787460821202278,0.16087125890080528,0.15688333888389516,0.15218844646806862,0.14659081988410033,0.1586710781369903,0.22143284662860807,0.14946643129681927,0.15060724135165107,0.1523234898220032,0.14525586175127547,0.15429446782473094,0.27732069236131573,0.2939570750289506,0.3670469284385728,0.15147076267974788,0.15099204065143873
lag_5_SCB,0.16758551569142094,0.23548073058796434,0.2342178334249016,0.2313235447591236,0.14177081581711498,0.15368432837303345,0.21221633759491812,0.22841279513990956,0.12937734479881088,0.12067267822564721,0.09354258301170852,0.228173971085345,0.09920580847976133,0.27732069236131573,0.17839121023895765,0.2798262424580024,0.15305806267969882,0.1455366285450378
lag_4_SCB,0.17526706695835947,0.2061813424868212,0.1939186153055311,0.19092981643847615,0.14364021417789277,0.15849006768735452,0.15536111440443032,0.2048822344498418,0.09464444693408745,0.12242976696289419,0.13748315269263706,0.24757159919420363,0.1232818843136713,0.27732069236131573,0.08522251108466518,0.1579276557140381,0.13606511637667995,0.12379478098117602
lag_3_SCB,0.17468681681807352,0.20620255810282534,0.21156619155159373,0.2082898333921536,0.14640808290248053,0.17540588544722094,0.1806414461636859,0.20253469489503825,0.20330240365868554,0.22090656035376413,0.13950194191787357,0.24623005861944064,0.14818279993808936,0.27732069236131573,0.08976604683764541,0.2816130973065807,0.17541300440564983,0.14532210879660395
lag_2_SCB,0.09181930033127265,0.22144139862131143,0.22605945894608295,0.22006006903414443,0.07147039147285031,0.10763385922252162,0.15689196756057516,0.2446582856226932,0.2510377799750404,0.36586547507028044,0.198955546389151,0.14173871112587183,0.198955546389151,0.27732069236131573,0.05887528191470232,0.3272196611183624,0.13137052187288709,0.11246974802833416
lag_10_INTUCH,0.7949474913799321,0.9127988433687109,0.915133279159811,0.9137418498821437,0.7620375119808017,0.7854318974859577,0.9465849666809579,0.9095673396729655,1.5367907801270675,1.546602342102025,0.49754302501894554,0.6637967942752935,0.4840103099734751,0.6601500239461178,0.6828839864958836,1.5291390735218382,0.6439428664008754,0.7017216476063982
lag_9_INTUCH,1.0671058622537557,1.2991683647079488,1.3177256494779837,1.3202152639948443,0.8904830481632601,0.9773518225549005,1.4541865188386287,1.2876671230726413,1.4679785498692108,1.4956033747762147,1.192155789498733,1.2673334446821976,1.2617962448317077,0.6601500239461178,0.7740392290502257,0.989824514975712,0.983305783565269,0.9266508764981852
lag_8_INTUCH,0.8677801283443869,1.2339205876846422,1.2138146595086112,1.2183062030634244,0.9754632503443832,0.8004277037345173,1.285117435492082,1.0284900644230905,0.7767227751243051,0.7044830524387398,0.6625226170944141,0.7830416406369967,0.6471992939848258,0.6601500239461178,0.7440510831003254,0.8943809880283075,0.963697529192133,0.9450205977958487
lag_7_INTUCH,0.9906867036295932,1.1377809078413215,1.1208396573128978,1.1208396573128978,0.9351636800004823,0.7809691330663152,1.133652106918551,1.1085316856303729,0.9050416499898922,0.6723282031823898,0.8615240012754988,0.8051172907385182,0.8490411590884112,0.6601500239461178,0.7769959980309322,1.2870307261733418,0.9191289903432547,0.9000645732797434
lag_6_INTUCH,0.624038649963732,1.0621832352159102,1.0450698428734542,1.0582762940236212,0.5087815657169619,0.5940205704263382,0.9328577261005827,0.9180256795402824,0.41911493508523495,0.43714827888269603,0.4240937282203646,0.5404344711240257,0.4786458952150256,0.6601500239461178,0.6011076141794428,0.914374145943546,0.5585986455420251,0.6628308593573876
lag_5_INTUCH,1.5017405951601404,1.058627237427106,1.067568193542932,1.067037739830762,0.5777251369020161,0.7865273807351942,0.975390773386208,0.9547702161355944,0.8190191615303194,0.7983115094125655,0.825509879932834,0.6197710449367233,0.8678813987525319,0.6601500239461178,1.8884928466271216,0.5963827587323666,0.4291447724607164,0.37299995408630726
lag_4_INTUCH,1.5196232611665645,1.059589225390394,1.0665105970014706,1.0537769332350606,0.5731713860786822,0.6089611066641172,0.9647642685264334,0.9473993620840601,0.5428455921839571,0.7499973287865046,0.8565040078868301,0.6658603860219215,0.9180396809707301,0.6601500239461178,1.992360472013455,0.37579442441531347,0.5809358621458695,0.33877593690508984
lag_3_INTUCH,2.4670481478317576,1.392161567102417,1.4065263930633485,1.4082774006561276,0.8039343310010748,0.822341632963225,1.4225268299317229,1.4100884850747433,0.5717983510369998,0.6428065660160203,0.9119976510097653,0.7665168770660813,0.9119976510097653,0.6601500239461178,1.932144782792125,0.7719761004072809,0.6590563899213441,0.6170261097897715
lag_2_INTUCH,2.911870829523653,1.3173005828146616,1.3243463666134316,1.3188479671090965,1.1146774261614016,0.8498115706997522,1.3235989618538873,1.3728655901185443,0.5669289729651661,0.7161727040606687,0.3517929864373682,0.5690841047008592,0.3511618017646763,0.6601500239461178,1.5647988894259952,0.7301393215120132,0.8642922320957643,0.64160999843117
